step	loss
0	0.6937992572784424
1	0.6821551322937012
2	0.6735202670097351
3	0.6657739877700806
4	0.6586037278175354
5	0.6517291069030762
6	0.6448237299919128
7	0.6380335092544556
8	0.6310954093933105
9	0.6242649555206299
10	0.6171339750289917
11	0.6099262237548828
12	0.6022297739982605
13	0.5946093201637268
14	0.5864012837409973
15	0.5780903100967407
16	0.5697005987167358
17	0.5607907772064209
18	0.5519415140151978
19	0.5429091453552246
20	0.5340188145637512
21	0.5248616337776184
22	0.5157950520515442
23	0.5066315531730652
24	0.49762827157974243
25	0.48843321204185486
26	0.47980797290802
27	0.4710768759250641
28	0.4625469148159027
29	0.45449191331863403
30	0.44620785117149353
31	0.43881747126579285
32	0.43121376633644104
33	0.42419275641441345
34	0.41750288009643555
35	0.41103672981262207
36	0.4046672284603119
37	0.3989027440547943
38	0.3937809467315674
39	0.3884488344192505
40	0.3828850984573364
41	0.37851792573928833
42	0.3738917410373688
43	0.3700370788574219
44	0.36590948700904846
45	0.36208802461624146
46	0.3587218225002289
47	0.35506471991539
48	0.3518810272216797
49	0.3486012816429138
50	0.3463069498538971
51	0.3436458110809326
52	0.3406012952327728
53	0.3384159505367279
54	0.33641284704208374
55	0.3342669904232025
56	0.3324657678604126
57	0.3304261863231659
58	0.3284222185611725
59	0.32660290598869324
60	0.32555946707725525
61	0.3231023848056793
62	0.32233938574790955
63	0.32026615738868713
64	0.31875553727149963
65	0.3179332911968231
66	0.3160041570663452
67	0.3153174817562103
68	0.3139887750148773
69	0.31310364603996277
70	0.31203708052635193
71	0.3103460669517517
72	0.3095974624156952
73	0.3085951805114746
74	0.30814018845558167
75	0.3064660131931305
76	0.3059217035770416
77	0.3052058517932892
78	0.3048775792121887
79	0.303510844707489
80	0.3023066520690918
81	0.30202996730804443
82	0.30090299248695374
83	0.30000758171081543
84	0.2999752163887024
85	0.29872003197669983
86	0.29789385199546814
87	0.29733511805534363
88	0.29717618227005005
89	0.2958279848098755
90	0.29666391015052795
91	0.294695109128952
92	0.2943996787071228
93	0.29342010617256165
94	0.2929297983646393
95	0.2925364077091217
96	0.2923957407474518
97	0.2915414273738861
98	0.2905048131942749
99	0.29044875502586365
100	0.28825998306274414
101	0.28959423303604126
102	0.2887561619281769
103	0.287827730178833
104	0.2875022292137146
105	0.28694188594818115
106	0.28650176525115967
107	0.2862187922000885
108	0.2854596972465515
109	0.2855391502380371
110	0.2848273813724518
111	0.2843351662158966
112	0.2837585210800171
113	0.28313207626342773
114	0.28325164318084717
115	0.2817760109901428
116	0.28156885504722595
117	0.28125038743019104
118	0.28082963824272156
119	0.2805745303630829
